area,price
750,50
800,55
1200,85
1500,110
2000,150
2500,180
3000,220
3500,260
4000,300
4500,340
750,50
800,55
1200,85
1500,110
2000,150
2500,180
3000,220
3500,260
4000,300
4500,340
750,50
800,55
1200,85
1500,110
2000,150
2500,180
3000,220
3500,260
4000,300
4500,340
750,50
800,55
1200,85
1500,110
2000,150
2500,180
3000,220
3500,260
4000,300
4500,340
750,50
800,55
1200,85
1500,110
2000,150
2500,180
3000,220
3500,260
4000,300
4500,340
750,50
800,55
1200,85
1500,110
2000,150
2500,180
3000,220
3500,260
4000,300
4500,340
750,50
800,55
1200,85
1500,110
2000,150
2500,180
3000,220
3500,260
4000,300
4500,340
750,50
800,55
1200,85
1500,110
2000,150
2500,180
3000,220
3500,260
4000,300
4500,340
750,50
800,55
1200,85
1500,110
2000,150
2500,180
3000,220
3500,260
4000,300
4500,340
750,50
800,55
1200,85
1500,110
2000,150
2500,180
3000,220
3500,260
4000,300
4500,340
